97,80,93,101,101,111,148,97,99,99,100,99,97,102,99,98,102,100,110,100,101
212,276,274,365,225,255,296,297,284,322,292,244,227,273,265,283,277,292,331,275,278
239,238,367,287,287,284,295,290,296,290,314,293,280,282,362,234,236,302,284,290,287
409,452,467,609,599,514,406,441,455,394,395,400,394,400,460,410,388,399,398,429,440
450,499,505,491,512,506,481,546,580,547,688,567,504,492,504,611,505,493,528,516,526
626,589,584,580,571,864,607,563,569,598,588,577,580,564,592,570,579,570,576,590,596
719,679,666,682,675,668,669,764,720,696,672,668,659,710,662,663,669,675,657,734,685
924,792,785,821,802,783,800,786,775,797,778,777,824,829,786,831,841,818,794,806,807
952,914,891,944,891,914,889,903,889,892,927,881,1068,920,888,899,906,879,890,947,914
1051,1082,1023,980,1047,1166,1083,1099,1005,1052,978,998,984,997,1000,1091,1078,998,1034,1006,1037
1118,1089,1055,1163,1104,1079,1117,1086,1121,1106,1071,1099,1132,1085,1091,1067,1106,1070,1183,1114,1102
1226,1198,1167,1137,1174,1149,1174,1142,1159,1214,1382,1206,1169,1220,1415,1255,1146,1171,1144,1175,1201
1274,1259,1242,1469,1251,1277,1247,1225,1622,1241,1244,1244,1240,1242,1231,1226,1372,1236,1250,1225,1280
1398,1358,1365,1354,1378,1544,1889,1428,1394,1439,1566,1366,1373,1383,1445,1359,1327,1406,1521,1443,1436
1502,1525,1527,1458,1499,1447,1548,1468,1500,1511,1492,1495,1467,1468,1566,1539,1507,1554,1507,1505,1504
1662,1598,1654,1617,1600,1572,1617,1597,1602,1620,1617,1597,1579,1620,1626,1594,1572,1635,1654,1623,1612
1899,1779,1745,1726,1716,1721,1742,1691,1708,1700,1742,1715,1689,1687,1715,1705,1701,1726,1697,1747,1727
1911,1806,1867,1812,1796,1808,1841,1838,1825,1813,1797,1800,1811,1827,1801,1799,1957,1804,1841,1814,1828
1968,1965,1953,1956,1920,1887,1911,1959,1883,1948,1907,1912,1960,1890,1980,1932,1935,1929,2022,1944,1938
2047,2022,2047,2074,2057,2300,2061,2027,2010,1997,2023,2008,2014,2236,2051,2036,2038,1982,2003,1995,2051
