415000,375000,372000,372000,371000,373000,372000,370000,619000,378000,374000,372000,372000,384000,372000,371000,370000,383000,370000,369000,387700
11750000,1650000,770000,8274000,1498000,1429000,790000,815000,799000,780000,767000,823000,951000,1060000,818000,866000,971000,1085000,779000,734000,1870450
1181000,1113000,1109000,1178000,1182000,1163000,1162000,1221000,1834000,10862000,11929000,3196000,2359000,1209000,1859000,1594000,1489000,1331000,1182000,1160000,2465650
2842000,2959000,2201000,1652000,1629000,1716000,1642000,1609000,1746000,1627000,1634000,1674000,1658000,1643000,1611000,1600000,1608000,1662000,1817000,1680000,1810500
2363000,2077000,2087000,2121000,2277000,2133000,2212000,2140000,2069000,2089000,2045000,2306000,2088000,2073000,2071000,2088000,2102000,2059000,2076000,2247000,2136150
2814000,2530000,2597000,2742000,2526000,2525000,2662000,2529000,2479000,2727000,2605000,2648000,2739000,2691000,2625000,2746000,2881000,4578000,3496000,2537000,2783850
3868000,3194000,3083000,3222000,3070000,3135000,3104000,3043000,3226000,3346000,3261000,4221000,3834000,3908000,3106000,3476000,3085000,3156000,4094000,3476000,3395400
4741000,4052000,4043000,4065000,4208000,6856000,5577000,4461000,4214000,4294000,5931000,4507000,4418000,4085000,4081000,4329000,4217000,4062000,4143000,4584000,4543400
6239000,4968000,4968000,5145000,4930000,5141000,5684000,5013000,4787000,4753000,4616000,5001000,4523000,4554000,5146000,4691000,4506000,4584000,5339000,5077000,4983250
5646000,5356000,6352000,5390000,5274000,5501000,5314000,5577000,5732000,5404000,5534000,5593000,5297000,5305000,5338000,5408000,5553000,5583000,5304000,5189000,5482500
9996000,8793000,7271000,6975000,7069000,9315000,7578000,7484000,7838000,6984000,6748000,9399000,7094000,7104000,7096000,7110000,6856000,7067000,7086000,7620000,7624150
8280000,8150000,8189000,8133000,7769000,8150000,7672000,7926000,7713000,7858000,7818000,7963000,7628000,7867000,8397000,7686000,7906000,7549000,8040000,8441000,7956750
8801000,8181000,8476000,8171000,8323000,8078000,8326000,8206000,9971000,9140000,8468000,8707000,8633000,8173000,8523000,8650000,8730000,7955000,8452000,8221000,8509250
10208000,9995000,9902000,9833000,10441000,9833000,10047000,10105000,10158000,10471000,9721000,9895000,11843000,11614000,11139000,10244000,10181000,10768000,10411000,9831000,10332000
11429000,10721000,10825000,10995000,10584000,11274000,10891000,10588000,10657000,12508000,12061000,11193000,10832000,10764000,11370000,11248000,13808000,14487000,12866000,12685000,11589300
11905000,11685000,13501000,12660000,13463000,11650000,12135000,11536000,11283000,11443000,11388000,11228000,11166000,11426000,11009000,13316000,15980000,13322000,12397000,11425000,12195900
14909000,13364000,12624000,12846000,12650000,12858000,12233000,12588000,12605000,12456000,12676000,12419000,12401000,12462000,12409000,15647000,14237000,16151000,12604000,12531000,13133500
14766000,14888000,14370000,14491000,14096000,16522000,14659000,14636000,14365000,14683000,14407000,-982643000,16446000,15789000,14306000,14163000,14174000,14500000,14405000,14258000,-35135950
15007000,14720000,14600000,14917000,14834000,14625000,14865000,14956000,14823000,17266000,16189000,16406000,14519000,14727000,17562000,16610000,15207000,15727000,15008000,14806000,15368700
16721000,16006000,17699000,17431000,16392000,16237000,18632000,19245000,17270000,16020000,15947000,16153000,16144000,16103000,18271000,15993000,16043000,16324000,16195000,20124000,16947500

0.38,0.38,0.38,0.38,0.43,0.38,0.38,0.38,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38299999999999995
0.78,0.85,0.76,0.76,0.76,0.76,0.76,0.77,0.77,0.77,0.76,0.83,0.76,0.73,0.73,0.73,0.78,1.08,0.81,0.86,0.7905
1.14,1.12,1.12,1.12,1.16,1.17,1.17,1.18,1.16,1.16,1.2,1.18,1.17,1.27,1.63,1.17,1.17,1.16,1.16,1.17,1.189
1.79,1.61,1.62,1.61,1.66,1.7,1.6,1.59,1.59,1.62,1.62,1.6,1.6,1.59,1.6,1.61,1.64,1.6,1.6,1.6,1.6225000000000005
2.23,2.06,2.1,2.12,2.08,2.04,2.07,2.04,2.02,2.05,2.05,2.09,2.06,2.11,2.28,2.02,2.03,2.08,2.01,2.13,2.0835
2.91,2.61,2.6,2.59,2.71,2.73,2.68,2.6,2.59,2.68,2.7,2.75,2.64,2.63,2.64,2.61,2.67,2.76,2.69,2.65,2.6719999999999997
3.43,3.3,4.09,3.1,3.1,3.16,3.29,3.38,3.12,3.12,3.15,3.23,3.26,3.19,3.26,3.21,3.21,3.21,3.25,3.31,3.2684999999999995
5.11,4.28,4.3,4.86,4.39,4.21,4.59,4.33,4.31,4.23,4.19,4.24,4.46,5.42,4.3,4.33,4.31,4.26,4.24,4.24,4.43
6.3,5.37,5.27,5.31,5.56,5.35,5.23,5.78,5.52,5.14,5.07,5.29,5.25,5.3,5.1,5.05,5.2,5.09,5.12,7.88,5.459
6.31,5.96,5.72,6.82,5.74,5.68,5.79,5.68,5.9,5.92,5.73,5.79,5.78,6.31,5.82,5.76,5.72,5.69,5.82,5.8,5.887000000000001
10.44,8.4,7.37,7.35,7.32,7.42,7.76,7.38,7.76,7.51,7.72,7.33,7.46,7.41,7.42,7.34,7.34,7.37,7.87,7.92,7.6945
